2026-08-08 09:20:10,902 | INFO | Merging markdowns
2026-08-08 09:20:58,249 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Social_Engineering/2601.13581v1.md
2026-08-08 09:20:58,249 | INFO | Processing 2604.11752v1.pdf
2026-08-08 09:20:58,286 | INFO | 1 batches created
2026-08-08 09:20:58,286 | INFO | Processing batch 1/1
2026-08-08 09:21:27,390 | INFO | Merging markdowns
2026-08-08 09:22:02,556 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Social_Engineering/2604.11752v1.md
2026-08-08 09:22:02,556 | INFO | Processing 41598_2023_Article_37552.pdf
2026-08-08 09:22:02,658 | INFO | 2 batches created
2026-08-08 09:22:02,658 | INFO | Processing batch 1/2
2026-08-08 09:22:50,231 | INFO | Processing batch 2/2
2026-08-08 09:23:21,693 | INFO | Merging markdowns
2026-08-08 09:24:16,031 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Social_Engineering/41598_2023_Article_37552.md
2026-08-08 09:24:16,031 | INFO | Processing 1a.pdf
2026-08-08 09:24:16,065 | INFO | 1 batches created
2026-08-08 09:24:16,066 | INFO | Processing batch 1/1
2026-08-08 09:24:38,922 | INFO | Merging markdowns
2026-08-08 09:25:10,128 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Synthetic_Data/1a.md
2026-08-08 09:25:10,128 | INFO | Processing Detecting_Synthetic_.pdf
2026-08-08 09:25:10,171 | INFO | 1 batches created
2026-08-08 09:25:10,171 | INFO | Processing batch 1/1
2026-08-08 09:25:44,172 | INFO | Merging markdowns
2026-08-08 09:26:35,891 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Synthetic_Data/Detecting_Synthetic_.md
2026-08-08 09:26:35,891 | INFO | Processing IJERET-V4I4P105.pdf
2026-08-08 09:26:35,958 | INFO | 2 batches created
2026-08-08 09:26:35,958 | INFO | Processing batch 1/2
2026-08-08 09:27:04,878 | INFO | Processing batch 2/2
2026-08-08 09:27:31,874 | INFO | Merging markdowns
2026-08-08 09:28:01,685 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Synthetic_Data/IJERET-V4I4P105.md
2026-08-08 09:28:01,685 | INFO | Processing SyntheticDataGenerationUsi.pdf
2026-08-08 09:28:01,789 | INFO | 3 batches created
2026-08-08 09:28:01,789 | INFO | Processing batch 1/3
2026-08-08 09:28:37,053 | INFO | Processing batch 2/3
2026-08-08 09:29:07,684 | INFO | Processing batch 3/3
2026-08-08 09:30:03,209 | INFO | Merging markdowns
2026-08-08 09:30:35,900 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Synthetic_Data/SyntheticDataGenerationUsi.md
2026-08-08 09:30:35,900 | INFO | Processing ssrn-5353731.pdf
2026-08-08 09:30:35,937 | INFO | 2 batches created
2026-08-08 09:30:35,937 | INFO | Processing batch 1/2
2026-08-08 09:31:06,229 | INFO | Processing batch 2/2
2026-08-08 09:31:44,521 | INFO | Merging markdowns
2026-08-08 09:32:36,052 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/Synthetic_Data/ssrn-5353731.md
2026-08-08 09:32:36,052 | INFO | Processing IJCRT2412897.pdf
2026-08-08 09:32:36,085 | INFO | 1 batches created
2026-08-08 09:32:36,085 | INFO | Processing batch 1/1
2026-08-08 09:33:08,780 | INFO | Merging markdowns
2026-08-08 09:34:12,903 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/UPI_Fraud/IJCRT2412897.md
2026-08-08 09:34:12,904 | INFO | Processing IJRTI2510035.pdf
2026-08-08 09:34:12,942 | INFO | 1 batches created
2026-08-08 09:34:12,942 | INFO | Processing batch 1/1
2026-08-08 09:34:46,862 | INFO | Merging markdowns
2026-08-08 09:35:18,735 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/UPI_Fraud/IJRTI2510035.md
2026-08-08 09:35:18,736 | INFO | Processing a-comprehensive-survey-on-machine-learning-tech.pdf
2026-08-08 09:35:18,799 | INFO | 2 batches created
2026-08-08 09:35:18,799 | INFO | Processing batch 1/2
2026-08-08 09:36:01,360 | INFO | Processing batch 2/2
2026-08-08 09:36:38,796 | INFO | Merging markdowns
2026-08-08 09:37:33,167 | INFO | Saved /home/ec2-user/Scalable-FraudTxns-Detection/RAG_Systems/Retreiever_1_research_papers/markdown/UPI_Fraud/a-comprehensive-survey-on-machine-learning-tech.md
2026-08-08 09:37:33,167 | INFO | Processed : 23
2026-08-08 09:37:33,167 | INFO | Failed : 0
